name,price,address,access,area,layout,yyyymm_construction,url
第７プリンスマンション高砂,1398万円,福岡県福岡市中央区高砂１,地下鉄七隈線「渡辺通」徒歩9分,46.86m2（壁芯）,2LDK,1978年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78348652/
ファミール輝国,1580万円,福岡県福岡市中央区輝国２-8-20,地下鉄七隈線「六本松」徒歩14分,68m2（20.56坪）（壁芯）,3LDK,1984年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77795131/
トーカンマンション博多駅前第８,1650万円,福岡県福岡市博多区博多駅前４,ＪＲ鹿児島本線「博多」徒歩10分,56.03m2（壁芯）,1LDK+S（納戸）,1979年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78613656/
シャンボール大濠,1980万円,福岡県福岡市中央区鳥飼３,地下鉄空港線「西新」徒歩10分,74.88m2（壁芯）,3LDK,1978年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78770984/
東カン第二キャステール,2180万円,福岡県福岡市博多区比恵町,地下鉄空港線「東比恵」徒歩12分,51.66m2（壁芯）,1LDK,1975年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78989095/
ライオンズマンション鳥飼,2280万円,福岡県福岡市城南区鳥飼６,地下鉄七隈線「別府」徒歩9分,62.69m2（壁芯）,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_78839026/
Asobi+　エクセレンス天神,2430万円,福岡県福岡市中央区那の津１,地下鉄空港線「天神」徒歩10分,67.8m2（20.50坪）（壁芯）,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79016911/
秀和警固レジデンス,2480万円,福岡県福岡市中央区警固２,地下鉄空港線「赤坂」徒歩8分,54.88m2（壁芯）,1LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78784974/
コープ野村南薬院,2480万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,50.51m2（壁芯）,1LDK,1981年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77933224/
藤崎センタービル,2699万円,福岡県福岡市早良区高取２-18-6,地下鉄空港線「藤崎」徒歩3分,64.5m2,2LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_78936516/
藤和今泉コープ,2980万円,福岡県福岡市中央区今泉２-4-58,地下鉄七隈線「薬院大通」徒歩8分,69.6m2（21.05坪）（壁芯）,3LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78541566/
ライオンズマンション薬院第2,2999万円,福岡県福岡市中央区薬院２-17-1,地下鉄七隈線「薬院大通」徒歩7分,81.48m2,3LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77750945/
〇素敵な住環境〇ライオンズマンションマキシム浄水通り…,3000万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,83.83m2（25.35坪）（壁芯）,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76444240/
ロマネスク大濠アネックス,3080万円,福岡県福岡市中央区鳥飼２,地下鉄空港線「唐人町」徒歩11分,61.5m2（壁芯）,2LDK,1987年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78407815/
朝日プラザ天神,3280万円,福岡県福岡市中央区舞鶴１,地下鉄空港線「天神」徒歩5分,57.33m2（壁芯）,1LDK,1986年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78975782/
ライオンズマンション西新,3380万円,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩3分,66.36m2（壁芯）,2LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77933473/
オープンレジデンシア天神今泉,3490万円,福岡県福岡市中央区今泉２,地下鉄七隈線「薬院大通」徒歩6分,34.12m2（10.32坪）,1LDK,2023年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79053066/
ライオンズヒルズ桜坂,3498万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩3分,68.25m2（壁芯）,3LDK,1986年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78915180/
ライオンズマンション警固南,3680万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩6分,67.43m2（壁芯）,2LDK,1983年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78082979/
星和今泉コーポラス,3780万円,福岡県福岡市中央区今泉２,地下鉄七隈線「薬院大通」徒歩7分,88m2（26.61坪）,3LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78533278/
オープンレジデンシア博多住吉,3960万円,福岡県福岡市博多区住吉２,ＪＲ鹿児島本線「博多」徒歩9分,38.65m2（壁芯）,1LDK,2023年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78671217/
ライオンズミレス西新,3980万円,福岡県福岡市早良区城西３-19-2,地下鉄空港線「西新」徒歩4分,33.71m2,1LDK,2022年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_78634135/
アンピール百年橋　内装リフォーム済　家具配置してみま…,4185万円,福岡県福岡市中央区清川３-9-23,地下鉄七隈線「渡辺通」徒歩15分,76.08m2（壁芯）,3LDK,1995年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77680927/
サンシティ鳥飼　202号室,4199万円,福岡県福岡市城南区鳥飼４,地下鉄七隈線「別府」徒歩11分,68.48m2（20.71坪）（壁芯）,3LDK,1994年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_78991112/
エンゼルハイム大濠公園南,4280万円,福岡県福岡市城南区鳥飼６,地下鉄七隈線「別府」徒歩4分,93.74m2（壁芯）,4LDK,1990年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76627401/
エンゼルハイム大濠公園南,4290万円,福岡県福岡市城南区鳥飼６,地下鉄七隈線「別府」徒歩4分,69.03m2（壁芯）,3LDK,1990年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_78226473/
トラスト福岡空港駅レジデンス,4298万円,福岡県糟屋郡志免町別府北４-1-47,地下鉄空港線「福岡空港」徒歩12分,67.85m2（20.52坪）（壁芯）,3LDK,2024年5月,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_79031976/
藤崎ロジュマン,4480万円,福岡県福岡市早良区昭代３-9-5,地下鉄空港線「藤崎」徒歩13分,82.76m2,4LDK,1988年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_78392749/
アンピール天神東,4480万円,福岡県福岡市中央区春吉２,地下鉄七隈線「渡辺通」徒歩9分,65.04m2（19.67坪）（壁芯）,2LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78802812/
アンピール天神東,4480万円,福岡県福岡市中央区春吉２-5-1,地下鉄七隈線「渡辺通」徒歩8分,65.04m2（19.67坪）（壁芯）,2LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78778634/
藤崎ロジュマン,4480万円,福岡県福岡市早良区昭代３,地下鉄空港線「藤崎」徒歩10分,82.76m2（壁芯）,4LDK,1988年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_79055759/
エンクレストベイサイド通り,4799万円,福岡県福岡市博多区築港本町7-14,地下鉄空港線「中洲川端」徒歩14分,54.02m2,1LDK,2016年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78799147/
コスモ博多古門戸,4799万円,福岡県福岡市博多区古門戸町,地下鉄空港線「中洲川端」徒歩9分,54.49m2（壁芯）,1LDK+S（納戸）,2003年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78919668/
サーパス平尾駅前,4880万円,福岡県福岡市中央区平尾２,地下鉄七隈線「薬院」徒歩15分,74.5m2（22.53坪）（壁芯）,3LDK,2000年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78616408/
ロイヤルアーク藤崎南,5298万円,福岡県福岡市早良区原１,地下鉄空港線「藤崎」徒歩13分,84.98m2（壁芯）,3LDK,2001年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_79060702/
モントーレ舞鶴ベイレジデンス,5380万円,福岡県福岡市中央区港１,地下鉄空港線「大濠公園」徒歩10分,59.1m2（17.87坪）,2LDK,2019年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78952103/
トラスト福岡空港駅レジデンス,5490万円,福岡県糟屋郡志免町別府北４,地下鉄空港線「福岡空港」徒歩14分,79.35m2（24.00坪）（壁芯）,4LDK,2024年5月,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_78810145/
